protein_id,abundance
P03138,1.02896
P01123,1.08092
P00830,1.13618
P00812,1.01113
P00588,324.547
O94364,1.00598
O94282,1.02683
O94276,1.02505
O94444,1.01677
P03142,1.01558
O94640,1.26115
P00511,1.27776
O74653,1.01831
O94979,1.1757
O43007,5.61241
O35177,8.28432
P02768ups,1.03177
O94487,1.04947
O75529,3.02695
O95639,1.01176
O94561,1.02455
P00187,1.02722
I3PLQ6,1.11353
O94652,1.02147
O94449,1.01301
O95563,1.02955
P00431,1.01619
O94655,1.02714
P00942,1.03563
O75001,1.04143
O95202,5.08374
O95967,2.24015
O93852,1.01014
O94680,1.02071
P00546,3.05442
P00560,1.02382
